id,name,actors,directors,introduction,imgPath,status,playCount,doubanLink,doubanId,yearId,languageId,regionId,categoryId,createdAt,updatedAt
1,单身男女,高圆圆 吴彦祖 古天乐 林雪 尹子维 贾晓晨,杜琪峰,从内地来港任职投资分析员的程子欣(高圆圆饰)，在香港的感情生活与事业也并不如意，前男友原是有妇之夫，市场又面临金融危机，工作时刻紧张，唯一安慰是对面商厦窗前一名叫张申然(古天乐饰)的俊男经常向她为隔空打情骂俏，有时还会互相鼓励。子欣有次在电车内，碰见了前男友与其怀孕妻子一起，子欣落荒而逃，差点儿在马路被车撞到，幸而，给一个打扮似乞丐的男生方启宏(吴彦祖饰)救了。子欣为了感恩，把前男友的东西全部送予启宏来变买。原来，启宏是一名失意建筑师，而且经常买醉，最后子欣鼓励他戒酒，从头做起，还把一只角蛙留下来陪他。天意弄人，子欣本来决定与申然见面来一次真正约会，但申然却更跟了另一个美女走了。子欣伤心得像失恋似的。亦因此忘记跟了跟启宏的另一个约定，留下启宏与角蛙在公园呆等。子欣的感情事再次触礁。三年之后，申然竟成了子欣的老板，子欣极憎恨这眼中的「贱男」，但申然却想娶她为妻子，此时，启宏戒酒后成为了国家著名建筑师，又搬往子欣办公室对面的大厦工作，两人重遇隔空再续前缘。事业有成的启宏对子欣热烈追求，申然才惊觉要快马加鞭，凑成两男一女的三角关系。--Tommy推荐。,20130504080649.jpg,高清版,3252,NULL,NULL,3,1,3,1,1569943517,1569943517
3,反恐24小时第二季,基弗萨瑟兰 莎拉·温特 丹尼斯·海斯伯特,罗伯特·考区兰,美国政府得到情报：恐怖分子控制了一枚核弹，就在洛杉矶，预定今天内要爆炸。所以…介于此特殊情况，休假中的总统被召回，各部门都被调动起来，连离开ctu一年的杰克.鲍尔也被要求返回总部。总统亲自致电，杰克克服了之前失去妻子所受的伤痛，重新回到这支队伍中来，因为他要保护更多的美国市民。唯一让他放心不下的便是自己的独生女儿琴，琴自从自己的妈妈死后一直不肯原谅爸爸，在一户人家当保姆。恐怖分子正在准备炸弹，这将是不平凡的一天的开端……,20130504082546.jpg,全集,3547,NULL,NULL,1,1,1,2,1569943541,1569943541
6,反恐24小时第三季,基弗·萨瑟兰 伊丽莎·库斯伯 卡洛斯·博纳德,强·卡萨,"由基弗·萨瑟兰，伊丽莎·库斯伯，卡洛斯·博纳德等出演的王牌美剧。强·卡萨指导，JoelSurnow,RobertCochran编剧。故事接上一季风格，情节更为紧张曲折，随着杰克惟一亲人———女儿金加入反恐小组后，全剧由四个线索变成三个：杰克、大卫·帕姆、CTU小组（包括了杰克的女儿）展开。",20130504084931.jpg,全集,3422,NULL,NULL,1,1,1,2,1569943542,1569943542
7,武林外传,闫妮 姚晨 沙溢 喻恩泰 倪虹洁 姜超 肖剑 午马 岳跃利 张檬,尚敬,电影版的故事与电视剧完全不同。据悉，影片的故事围绕“同福客栈”面临被拆迁的处境展开，佟掌柜在带领“众侠”与地产商进行斗智斗勇的同时，片中主要角色也因各自的现状伤透脑筋：郭芙蓉与秀才成亲后，为了孩子积极筹划买房，最后却只买得一处牛棚；佟湘玉和白展堂喜结良缘后苦于没有小孩，使得佟掌柜一见郭芙蓉说话就变得酸溜溜。导演尚敬表示，电影保留了电视剧中人物的性格特点，但故事非常新鲜，“既反映现实也不乏温情，而且决不是恶搞。”,1534585055162.jpg,完结,2129,NULL,NULL,3,2,2,1,1569943542,1569943542
9,奋斗电影版,李晨，董璇,马伟豪,影片根据电视版《奋斗》改编。一座大都市，两对半恋人，六个好朋友的奋斗故事。青春不仅仅是奋斗，更是享受……,20130504092113.png,标清版,1187,NULL,NULL,3,2,2,1,1569943542,1569943542
10,反恐24小时第一季,基弗·萨瑟兰 莱斯利·霍普 玛丽·莱恩·莱杰斯库,NULL,主角美国政府反恐怖组织成员包杰克（JackBauer）正于妻子包达丽（TeriBauer）和女儿包金帕（KimberlyBauer）在家中，一切如常。未料金帕偷偷离开，当杰克和妻子发现金帕又跑在外时，杰克忽然接到组织急召，原来组织收到消息，有一恐怖组织正进行暗杀总统候选人柏大卫（DavidPalmer）的行动。反恐怖组织上下顿时气氛紧张，杰克上司更叮嘱杰克要秘密进行调查，更不可随便泄露行踪；因为他怀疑组织内部可能暗藏著奸细，而且，数目可能不只一个......,20130504092531.jpg,全集,4365,NULL,NULL,1,1,1,2,1569943543,1569943543
30,21克,西恩·潘  娜欧密·华兹 ,阿加多·冈萨雷斯·伊纳里多,传说人死亡时身体会消失21公克。也许是一个铜板的重量、一只蜂鸟的重量、一条巧克力的重量……也许，也是一个人灵魂的重量。保罗，一名大学的数学教授，患有严重的心脏病，站在鬼门关上的他竟然意外地死里逃生，成功的移植手术使他获得重生，但是他与妻子的关系却没能得到挽救；杰克，曾经是酒鬼和犯罪分子，在一名牧师的帮助指导下，他的生活得以重建，不仅成为青少年咨询顾问，还是正直善良的好父亲，可他的妻子有时候却暗暗希望他还能保留一点过去的性格。事实上，杰克被沉重的精神负担所困，内心充满愧疚，似乎没有可能再得到希望与救赎；克里斯汀，她曾经沉溺于毒品和派对，她改过自新后却因一起灾难性的事件，生活发生可怕的逆转。她退守到过去，并拒绝未来；在生与死的十字路口上，一桩交通事故让这三个人的命运轨道交汇，陷入复仇与宽恕的漩涡中。,20130507103826.jpg,完结,1502,NULL,NULL,1,1,1,1,1569943547,1569943547
33,白色星球,Jean-Louis·Étienne,蒂埃里·皮昂塔尼达 蒂埃里·拉格贝尔,北极，一个与我们隔离的星球。海上的浮冰、无边的平原以及独特的动物形成了一个美丽而神秘的白色星球。母北极熊在她的雪洞中生下了她的两个幼熊。小熊们正在慢慢长大，他们开始练习捕食，但骨子里还是一帮贪玩的孩子。现在母熊有三个月的时间来给孩子们喂食，在这个短暂的捕食季节中，每一天都极其珍贵。母熊以无比的耐心捕获了一只海豹，她的孩子们也享受了一顿美妙的盛宴。,白色星球.bmp,完结,451,NULL,NULL,1,1,1,1,1569943548,1569943548
34,BJ单身日记2,芮妮·齐薇格 柯林·菲尔斯 休·格兰特 ,比班·基德龙 ,布里奇特琼斯（蕾妮齐维格饰）自从与律师马克达西（科林菲尔斯饰）坠入爱河后，心想着与男友终成眷属的布...,20130507105402.jpg,完结 ,405,NULL,NULL,1,1,1,1,1569943548,1569943548
36,阿拉蕾,阿拉蕾怪博士,鸟山明,"修复资源链接错误问题。则卷小云是则卷千兵卫制造的仿真机器人,虽然有初中生的身高,也有高强的学习能力,但只有幼稚园生的心智.力大无穷,但破坏多于建设.喜爱玩弄地上的粪便或将头颅和身体分离.制造阿拉蕾的过程发生小故障,影响了视力,所以要佩戴眼镜.阿拉蕾什么都不吃,但必需喝一种名为“机械维单A“的饮品,否则无法补充能源.",20130507110147.jpg,完结,8335,NULL,NULL,1,5,4,3,1569943548,1569943548
